[2022-06-08 19:00:33.383] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.runLinting.title.
[2022-06-08 19:00:33.383] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.setInterpreter.title.
[2022-06-08 19:00:33.384] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.setLinter.title.
[2022-06-08 19:00:33.384] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.sortImports.title.
[2022-06-08 19:00:33.384] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.startREPL.title.
[2022-06-08 19:00:33.384] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.viewLanguageServerOutput.title.
[2022-06-08 19:00:33.384] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.viewOutput.title.
[2022-06-08 19:00:33.384] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.execInTerminalIcon.title.
[2022-06-08 19:00:33.384] [remoteagent] [warning] [/home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2]: Couldn't find message for key python.command.python.debugInTerminal.title.
[2022-06-08 19:00:33.930] [remoteagent] [info] Deleted from disk ms-python.vscode-pylance /home/lrb96/.vscode-server/extensions/ms-python.vscode-pylance-2022.5.3
[2022-06-08 19:00:33.936] [remoteagent] [info] Deleted from disk ms-python.python /home/lrb96/.vscode-server/extensions/ms-python.python-2022.6.2
[2022-06-08 19:00:36.625] [remoteagent] [info] Getting Manifest... ms-python.vscode-pylance
[2022-06-08 19:00:36.659] [remoteagent] [info] Installing extension: ms-python.vscode-pylance
[2022-06-08 19:00:39.947] [remoteagent] [info] Downloaded extension: ms-python.vscode-pylance /home/lrb96/.vscode-server/data/CachedExtensionVSIXs/ms-python.vscode-pylance-2022.6.10
[2022-06-08 19:00:44.031] [remoteagent] [info] Extracted extension to /home/lrb96/.vscode-server/extensions/.db69fe99-95b2-4341-b3ae-b21abfe14ad8: ms-python.vscode-pylance
[2022-06-08 19:00:44.080] [remoteagent] [info] Renamed to /home/lrb96/.vscode-server/extensions/ms-python.vscode-pylance-2022.6.10
[2022-06-08 19:00:44.082] [remoteagent] [info] Extracting completed. ms-python.vscode-pylance
[2022-06-08 19:00:44.086] [remoteagent] [info] Extension installed successfully: ms-python.vscode-pylance
